X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
10.33218,43.85152,train,1.5669923220741998E-4,55.874573810793656,0.6727547273725568
10.30845,43.83509,train,2.0348759020249923E-4,75.51550339970909,0.7655658549832667
10.30438,43.83294,train,2.6976138654114163E-4,88.75455756674945,0.8538350641025543
10.30502,43.8342,train,2.674914913092221E-4,88.43059635340428,0.8514507066099133
10.30665,43.83284,train,2.915643753049897E-4,91.9071417581122,0.8748752785665362
10.30449,43.83522,train,2.0072626719572757E-4,74.51858593405895,0.7609054525858033
10.30719,43.83186,train,1.1409482236243985E-4,21.253291076967365,0.5566233962648722
10.32635,43.87355,train,3.482075537851423E-4,97.12577001598375,0.9164433580965103
10.28136,43.8183,train,1.6219704850341737E-5,1.8416872814429202,0.10918962998574944
10.32662,43.8745,train,3.6057626862726956E-4,97.77386824065078,0.9234952222859296
10.31479,43.85062,train,1.8698540177424107E-4,69.40395762569395,0.7362999902499534
10.25875,43.82048,train,1.0202159478740828E-4,19.013885782525573,0.5167738920114741
10.32797,43.83641,train,1.5198546178889203E-4,52.635026215615184,0.6615716103861646
10.25154,43.83804,train,5.02060027830012E-5,6.787651234213353,0.3008557882965923
10.3526,43.83723,train,2.25294937278988E-4,81.66159449581298,0.799318519373585
10.35202,43.84446,train,2.816962598516889E-4,90.45534824246819,0.8657562997080651
10.27148,43.78047,train,3.2188670236353004E-4,95.33184731085909,0.8991982788268003
10.35584,43.83622,train,2.494217518953963E-4,85.5665133671361,0.831028731052645
10.35637,43.83607,train,2.5182438807414757E-4,86.12751547222011,0.8338981300300785
10.27615,43.77761,train,2.796805824801855E-4,90.18834149810708,0.8638134340441868
10.35141,43.83834,train,1.6311591654469203E-4,59.47942043767093,0.6873863707086054
10.353,43.83733,train,2.2727804852887124E-4,81.98067617153092,0.8021355537694386
10.3415,43.82322,train,1.463453108027923E-4,42.74176677144427,0.6476873933922387
