X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
10.33509,43.84021,train,3.3698234614413966E-4,79.98593937236969,0.8662178323387708
10.33295,43.83183,train,1.205846285245678E-4,21.31620031120265,0.5131521208091289
10.25076,43.84848,train,1.8731730952915177E-5,3.755636124561929,0.10579030329154038
10.25453,43.83933,train,2.871448052039156E-5,5.602625084272299,0.15751954136434176
10.30813,43.83489,train,1.9315608827299107E-4,50.13325769157333,0.6843126724816376
10.30761,43.862,train,1.407268926822927E-4,29.59493650570776,0.5683060575923093
10.25742,43.81887,train,4.205362086251637E-5,7.526421036939552,0.22200088511484994
10.32939,43.85363,train,4.1413468051578606E-4,92.49447476517372,0.9155914351130884
10.31509,43.81927,train,2.6549912389282345E-4,65.49344770384988,0.7950191983287236
10.32114,43.81122,train,2.642414001150023E-4,63.55726568798486,0.7934744711003543
10.32215,43.8184,train,2.6806231419416446E-4,69.5083122352412,0.7981316160488308
10.33365,43.8144,train,2.690031919036015E-4,71.0103094810583,0.7992622044456726
10.3193,43.82231,train,2.688177365624278E-4,70.70582137043078,0.7990398576100317
10.33974,43.81438,train,2.633385114378333E-4,62.083863050040584,0.792358376886841
10.35118,43.83985,train,2.6825222289366134E-4,69.81620962001355,0.798360328112353
10.35013,43.83735,train,4.313868098329437E-4,95.56935043201882,0.9238514480585086
10.35145,43.83967,train,2.703728714920174E-4,71.31695029647008,0.8008967461002714
10.35197,43.83757,train,4.41744135199157E-4,97.60110433240733,0.9284168096543096
10.35143,43.83824,train,4.431020480771796E-4,97.82584266632448,0.928994700808973
10.35253,43.83616,train,4.3566567685507786E-4,96.3334528660228,0.9257717873423575
10.35168,43.83957,train,2.7134422053750885E-4,71.50284769736128,0.802047857231768
10.35655,43.83635,train,2.3384897863258384E-4,55.77589143468173,0.7523924719278166
10.34639,43.83535,train,3.8564662043638815E-4,87.61307475498747,0.8999447913269664
10.35015,43.83813,train,4.345257020877525E-4,96.13319439922316,0.9252649544697297
10.35448,43.83643,train,2.7218808049775004E-4,71.61996048532427,0.8030424820004611
10.34032,43.8097,train,2.662677607704424E-4,66.67758461554355,0.7959575389410953
10.34515,43.81802,train,2.3528218676751895E-4,55.97660236396307,0.7545017737880725
10.31761,43.80305,train,1.3880416598348796E-4,28.751099348840725,0.563322835954715
10.28061,43.77717,train,1.493678039689009E-4,34.282615076499276,0.5900083308349446
10.32028,43.80435,train,1.5762834335389197E-4,41.793683947667354,0.609734468625599
10.30774,43.76577,train,1.1767828225151106E-4,20.627117068498,0.5046322036071633
10.33766,43.76657,train,1.4989345463449518E-4,34.682331953747905,0.5912927687557604
10.30942,43.76323,train,1.2472261776674576E-4,22.19876324995307,0.5250303584627609
10.32803,43.80536,train,2.630675986873863E-4,61.75975056826523,0.7920223166620207
10.35696,43.8249,train,3.594966840845548E-4,83.46378983455405,0.8830415847557552
10.35858,43.81519,train,2.7835627494831553E-4,72.56529676698244,0.8101625132915162
10.33464,43.81034,train,2.667852017922393E-4,67.52659541869444,0.7965868029792746
10.32466,43.80471,train,1.5797010461850581E-4,42.55355114441346,0.6105298257190896
10.34767,43.81647,train,2.679759075340335E-4,69.38454588177248,0.7980274683745008
10.37076,43.8144,train,7.496131860813967E-5,15.73146936475857,0.3607535365464466
10.35161,43.8179,train,2.7032604623048E-4,71.30798884800184,0.8008410863425667
10.36196,43.82238,train,1.8750104114585305E-4,49.30923366757147,0.6734742472134696
10.34067,43.8149,train,2.57766222328238E-4,60.22883675870165,0.7853355333090495
10.35589,43.83622,train,2.4315609046093986E-4,57.23603918191834,0.7657735983667031
10.33984,43.80384,train,1.584541941802364E-4,43.373562453963764,0.6116536402316768
10.34576,43.84537,train,3.692468842600552E-4,85.01355425544511,0.8896544551694463
10.2725,43.77998,train,2.5582127451986093E-4,60.00046226294199,0.7828287680665407
10.28016,43.77729,train,1.4673870300947148E-4,32.777838991181106,0.5835232309056226
10.31593,43.76452,train,2.1757231845047374E-5,4.366401066324527,0.12179483289468196
10.34204,43.81592,train,2.3868288257920432E-4,56.54306530879652,0.7594350748644252
10.26803,43.78834,train,1.5940397848138188E-4,44.15006141201043,0.6138491517987279
10.35119,43.8418,train,1.7942830239621956E-4,47.940680833045164,0.6573541969876107
10.34843,43.83403,train,3.8814136330931297E-4,88.0066261984046,0.9014237561098275
10.26726,43.79415,train,1.263583699117195E-4,22.55709112124697,0.5296455192667323
