X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
10.33229,43.85452,train,8.025455548558338E-4,89.78836723906913,0.9629727223254717
10.30761,43.862,train,6.921945521309156E-5,10.615275540847495,0.2474503117507636
10.32114,43.81122,train,8.16120923503855E-5,11.982693398314591,0.28479461210728074
10.32215,43.8184,train,1.2066945422297066E-4,22.479655132539307,0.3907924936402041
10.35655,43.83635,train,0.0014034212557059026,98.80148589803349,0.9968612517505263
10.35144,43.83825,train,5.911674137082076E-4,80.03826090422515,0.9117832400794519
10.35,43.83,train,3.3751053342002133E-4,56.933687940200365,0.7499701644485193
10.34643,43.8455,train,7.181348723838936E-4,86.31440350273355,0.9476299759991326
10.35235,43.84294,train,3.1131052686752836E-4,54.504806037996985,0.7215648506419925
10.35183,43.84128,train,0.001422390135326344,98.97141546643658,0.9970964973967489
10.35215,43.83855,train,0.001115881793477454,95.84144226798196,0.9897757223081384
10.35566,43.83649,train,0.0014391084141376755,99.1470325106413,0.9972891699566493
10.35785,43.83399,train,0.0010406069403318637,95.30682182480089,0.9860716939402283
10.35475,43.83673,train,0.0014027373943019665,98.7909151127041,0.9968524236890082
10.34579,43.84564,train,7.429003355566449E-4,87.78961624770318,0.9526947541291191
10.353,43.83735,train,9.676830080163418E-4,93.96159947701223,0.9812080999384529
10.35276,43.83688,train,8.663268702579918E-4,91.79747082589505,0.9715057767872622
10.34921,43.84667,train,6.253281162057983E-4,81.45544842486231,0.9233310339572453
10.35231,43.83762,train,9.000590228633209E-4,92.73810896732043,0.9751921162390454
10.34032,43.8097,train,1.1377737720232865E-4,20.001453768838903,0.3733017929177952
10.28061,43.77717,train,2.782456235371544E-4,50.63888006060105,0.6810658609825327
10.27688,43.77768,train,0.001015440248251315,94.58641699085875,0.9845550171257105
10.27732,43.77757,train,0.001050429667726627,95.5167797764553,0.9866224132687312
10.3563,43.8362,train,0.00138135615700581,98.3822732078301,0.9965635234298251
10.34767,43.81647,train,1.555939704022948E-4,30.415569800867146,0.47219760532106625
10.36196,43.82238,train,5.632030127097246E-4,78.70633042045267,0.9010466667328878
10.34515,43.81802,train,1.2446881276754392E-4,23.732506592463803,0.40022489485072876
10.35161,43.8179,train,1.5630887759019026E-4,30.544180204735888,0.4737450471591673
10.33464,43.81034,train,1.1373588565700507E-4,19.99041124285749,0.3731949893390082
10.32466,43.80471,train,1.1061024574559423E-4,18.88313411344849,0.36509671131258425
10.2725,43.77998,train,7.263179670687457E-4,87.17299283722573,0.949360802547322
10.28016,43.77729,train,2.6314925118467545E-4,48.41365143650762,0.6606655213377938
10.32108,43.80445,train,1.0285983384961547E-4,16.547302655060168,0.3445617669099452
10.268,43.78836,train,1.9801258052536214E-4,38.31909619407081,0.5565849193015815
10.35119,43.8418,train,0.0013852761411603815,98.52072241771296,0.9966184063415906
